baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000092060.4	274.304882595437	-4.31421021983374	0.25189310543488	-17.1271468998148	9.31102453253601e-66	1.03003831285868e-63
ENSMUSG00000014602.15	2159.07523342923	1.76804817850766	0.103386651344171	17.1013197112061	1.45081510977489e-65	1.59643681786772e-63
ENSMUSG00000038235.4	1182.37638574554	-2.21707080205009	0.129690725238107	-17.0950605602647	1.61528159619539e-65	1.76800689843884e-63
ENSMUSG00000035773.6	203.493418701969	-4.55930292379098	0.267576205108725	-17.0392689512073	4.19948024415003e-65	4.57234988477535e-63
ENSMUSG00000026202.13	1810.8281997707	-2.18154576751485	0.12870020693368	-16.9506003097494	1.90498719939936e-64	2.06327069078401e-62
ENSMUSG00000041235.12	258.328006028954	-2.95772584914601	0.174785599584077	-16.9220225017637	3.09613248941989e-64	3.33592150044944e-62
ENSMUSG00000028766.10	185.315712025544	-4.67856735963416	0.276520816046277	-16.9194038500565	3.23690265037483e-64	3.46952358177742e-62
ENSMUSG00000074743.4	2624.36174006829	1.55685425022888	0.0921852200193881	16.8883281929733	5.48348787827903e-64	5.84726359474012e-62
ENSMUSG00000030411.16	265.128346085848	-3.4375576606445	0.203641690258941	-16.8804219620917	6.26950979289475e-64	6.65114610695454e-62
ENSMUSG00000035834.11	552.64320780933	-2.84889909165582	0.168812363738738	-16.8761281967766	6.74244191528626e-64	7.11637223987382e-62
ENSMUSG00000029168.14	536.57963973434	-8.48357039066323	0.503037055119375	-16.8647027178743	8.18126929384614e-64	8.59116334425355e-62
ENSMUSG00000001021.13	202.405396115238	-5.76682007247229	0.342419022528515	-16.8414126933969	1.2130559146212e-63	1.26739836897822e-61
ENSMUSG00000034730.17	368.908600275052	-7.4106740185145	0.440088422271299	-16.8390569792042	1.26232141885276e-63	1.31224337647272e-61
ENSMUSG00000032561.15	197.101691117358	-4.83733323253105	0.287893797291084	-16.8024920232655	2.34002589902545e-63	2.42040578865698e-61
ENSMUSG00000029246.14	914.495017466179	-2.06111230603557	0.122700591439238	-16.7979003349486	2.52836960505326e-63	2.60220806068342e-61
